code_ecole,nom_ecole,nature,autorite,niveau,genre,region,gouvernorat,liwa,qada,adresse,type_zone,periode,directorate,code_directorate
110202,الشهيد الرائد الطيار فراس العجلوني الثانويه للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,وادي السير - الحي:ام اذينة - الشارع:اكرم رشيد,مدينة,فترة واحدة,لواء وادي السير ,1108
110203,دابوق الأساسيه للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء الجامعة, الجامعة,دابوق / حي الدويكات,قرية,فترة واحدة,لواء الجامعة ,1102
110204,الحديب وابو الملح الاساسيه المختلطه,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير, بدر الجديدة - الحي:الحديب وأبو الملح - الشارع:دابوق,قرية,فترة واحدة,لواء وادي السير ,1108
110205,زبده  الثانوية المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير, بدر الجديدة - الحي:زبدة - الشارع:عبد الكريم الجبور,قرية,فترة واحدة,لواء وادي السير ,1108
110206,الرباحيه الشماليه الاساسية للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير, بدر الجديدة - الحي:الرباحية الشمالية - الشارع:,قرية,فترة واحدة,لواء وادي السير ,1108
110207,السويسه الثانوية الشاملة للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير, بدر الجديدة - الحي:السويسه - الشارع:عبدالله بن بديل,قرية,فترة واحدة,لواء وادي السير ,1108
110208,محمود العابدي الاساسيه للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,وادي السير - الحي:البلدية - الشارع:قلة كري,مدينة,فترة واحدة,لواء وادي السير ,1108
110209,نديم الملاح الاساسيه بنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,وادي السير - الحي:الكرسي - الشارع:الصناعة,مدينة,فترة واحدة,لواء وادي السير ,1108
110210,الزهراء الثانوية المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,وادي السير - الحي:الروابي - الشارع:عبدالرحيم جردانه,مدينة,فترة واحدة,لواء وادي السير ,1108
110211,الصويفية الثانوية المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,وادي السير - الحي:الصويفية - الشارع:حارث بن زيد,مدينة,فترة واحدة,لواء وادي السير ,1108
