id,الاسم_بالعربية,الاسم_بالانجليزية,نوع_الملكية,المرحلة_الدراسية,نوع_المنشأة,المحافظة_AR,المنطقة_AR,الناحية_AR,المحافظة_EN,المنطقة_EN,الناحية_EN,adm0_pcode,adm1_pcode,adm2_pcode,adm3_pcode,adm4_pcode,المدينة,العنوان,خط_الطول,خط_العرض,المصدر
way/203370193,,,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"شارع جعفر الصادق, الصناعة الخامسة, Merje Meydani, حي باب النيرب, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.167141,36.182654,
way/203370192,,,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"شارع جعفر الصادق, الصناعة الخامسة, Merje Meydani, حي باب النيرب, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.1671,36.183235,
way/203751498,,,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"دوار الصالحين, Bab Al-Maqam district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.159401,36.187885,
way/203751494,,,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"سعيد بن العاص, Altunbogha district, Merje Meydani, حي القصيلة, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.159997,36.189553,
node/10060445035,مدرسة الجزائر,مدرسة الجزائر,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة الجزائر, Muhammad Fares Street, Altunbogha district, Merje Meydani, حي القصيلة, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.166892,36.191213,
way/203752754,مدرسة الجزائر,مدرسة الجزائر,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة الجزائر, Muhammad Fares Street, Altunbogha district, Merje Meydani, حي القصيلة, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.16676,36.191491,
node/10060431765,دوحة التقدم للأطفال,دوحة التقدم للأطفال,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"دوحة التقدم للأطفال, شارع عنتر بن شداد, Altunbogha district, Merje Meydani, حي القصيلة, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.166678,36.196215,
node/10076525017,Jamal Aldin Alafghani School,Jamal Aldin Alafghani School,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"Jamal Aldin Alafghani School, شارع القطانة, Abraj district, Merje Meydani, حي باب النيرب, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.172215,36.19453,
way/225594841,مدرسة وصفية القريشية,ثانوية العروبة للبنات,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية العروبة للبنات, شارع عنتر بن شداد, Altunbogha district, Merje Meydani, حي القصيلة, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.16761,36.198009,
node/10060314105,ثانوية العروبة للبنات,ثانوية العروبة للبنات,غير محددة,ثانوية,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية العروبة للبنات, شارع عنتر بن شداد, Altunbogha district, Merje Meydani, حي القصيلة, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.167635,36.198117,
way/219516324,مدرسة العروبة,مدرسة العروبة,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة العروبة, شارع عنتر بن شداد, Altunbogha district, Merje Meydani, حي القصيلة, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.167577,36.197592,
node/10060334333,ثانوية العروبة للبنات,ثانوية العروبة للبنات,غير محددة,ثانوية,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية العروبة للبنات, شارع عنتر بن شداد, Altunbogha district, Merje Meydani, حي القصيلة, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.167468,36.197692,
way/203524754,ثانوية هنانو,ثانوية هنانو,غير محددة,ثانوية,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية هنانو, شارع القصيلة, حي القصيلة, Merje Meydani, حي القصيلة, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.161787,36.195597,
