CCT,NOMBRE,SECTOR,ESTADO,MUNICIPIO,LOCALIDAD,AMBITO,VIALIDAD,NUM_EXT,COLONIA,CP,LATITUD,LONGITUD
09DPR0971Z,ESTADO DE MÉXICO,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE MÁRTIRES DE CHICAGO Y FÉLIZ GÓMEZ,1,1° DE MAYO,15440,19.444779,-99.100525
09DPR0974X,ESTADO DE MÉXICO,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE MÁRTIRES DE CHICAGO Y FÉLIX GÓMEZ,1,1° DE MAYO,15440,19.444779,-99.100525
09DPR0975W,ESTADO DE ISRAEL,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,RETORNO 52 DE CECILIO ROBELO,1,JARDÍN BALBUENA,15900,19.41972,-99.101119
09DPR0977U,LIC. ERNESTO ENRIQUEZ,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE DAMASCO,82,ROMERO RUBIO,15400,19.444238,-99.098427
09DPR0979S,EMPERADOR ITZCOATL,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,AVENIDA QUETZAL,1,EL PARAÍSO,9230,19.377786,-99.035943
09DPR0980H,EMPERADOR ITZCOATL,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,AVENIDA QUETZAL,1,EL PARAÍSO,9230,19.377786,-99.035943
09DPR0981G,ESTADOS UNIDOS MEXICANOS,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,RETORNO 11 DE GENARO GARCÍA,1,JARDÍN BALBUENA,15900,19.417299,-99.108739
09DPR0984D,DEFENSORES DE VERACRUZ DE 1914,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE ORIENTE 138,134,MOCTEZUMA 2A SECCIÓN,15530,19.432718,-99.105747
09DPR0985C,DOMINGO F. SARMIENTO,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE ORIENTE 26 Y STAND DE TIRO,34,DEL PARQUE,15960,19.423079,-99.119301
09DPR0986B,CONGRESO DE CHILPANCINGO,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE CONCHA,1,CARACOL,15630,19.426682,-99.069789
09DPR0988Z,CLUB 20 30,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE 16,19,EL RODEO,8510,19.394773,-99.084378
