id,nom_ecole,type_code,type_nom,statut,annee,latitude,longitude,commune_code,commune_fi,commune_sv,seutukunta_code,seutukunta_fi,seutukunta_sv,maakunta_code,maakunta_fi,maakunta_sv
05573,Myllymäen koulu,11,Peruskoulut,0,2025,62.522484,24.271006,989,Ähtäri,Etseri,144,Kuusiokunnat,Kuusiokunnat,14,Etelä-Pohjanmaa,Södra Österbotten
07099,Myllymäen koulu,11,Peruskoulut,0,2025,61.038607,28.2215,405,Lappeenranta,Villmanstrand,091,Lappeenranta,Villmanstrand,09,Etelä-Karjala,Södra Karelen
08822,Myllymäen koulu,11,Peruskoulut,0,2025,60.98929,24.433693,109,Hämeenlinna,Tavastehus,051,Hämeenlinna,Tavastehus,05,Kanta-Häme,Egentliga Tavastland
03262,Myllyojan koulu,11,Peruskoulut,0,2025,65.018752,25.553917,564,Oulu,Uleåborg,171,Oulu,Uleåborg,17,Pohjois-Pohjanmaa,Norra Österbotten
03089,Myllypuron peruskoulu,11,Peruskoulut,0,2025,60.220658,25.070632,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
06322,Myllytullin koulu,11,Peruskoulut,0,2025,65.015822,25.477545,564,Oulu,Uleåborg,171,Oulu,Uleåborg,17,Pohjois-Pohjanmaa,Norra Österbotten
03687,Myllärin koulu,12,Peruskouluasteen erityiskoulut,0,2025,66.488007,25.785629,698,Rovaniemi,Rovaniemi,191,Rovaniemi,Rovaniemi,19,Lappi,Lappland
00517,Mynämäen lukio,15,Lukiot,0,2025,60.678599,21.991794,503,Mynämäki,Mynämäki,023,Turku,Åbo,02,Varsinais-Suomi,Egentliga Finland
07234,Myrskylän koulu,11,Peruskoulut,0,2025,60.672238,25.854619,504,Myrskylä,Mörskom,015,Porvoo,Borgå,01,Uusimaa,Nyland
05786,Myötätuulen koulu,12,Peruskouluasteen erityiskoulut,0,2025,61.475164,21.780545,609,Pori,Björneborg,043,Pori,Björneborg,04,Satakunta,Satakunta
04442,Mäkelän koulu,11,Peruskoulut,0,2025,66.003717,29.254953,305,Kuusamo,Kuusamo,178,Koillismaa,Koillismaa,17,Pohjois-Pohjanmaa,Norra Österbotten
04878,Mäkelänmäen koulu,11,Peruskoulut,0,2025,62.133131,25.670699,500,Muurame,Muurame,131,Jyväskylä,Jyväskylä,13,Keski-Suomi,Mellersta Finland
00518,Mäkelänrinteen lukio,15,Lukiot,0,2025,60.19877,24.949159,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
05169,Mäkirinteen koulu,11,Peruskoulut,0,2025,64.140798,25.378258,071,Haapavesi,Haapavesi,175,Haapavesi-Siikalatva,Haapavesi-Siikalatva,17,Pohjois-Pohjanmaa,Norra Österbotten
06797,Männikön koulu,11,Peruskoulut,0,2025,62.942658,23.139869,408,Lapua,Lappo,142,Seinäjoki,Seinäjoki,14,Etelä-Pohjanmaa,Södra Österbotten
00519,Mäntsälän lukio,15,Lukiot,0,2025,60.639833,25.319001,505,Mäntsälä,Mäntsälä,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
07651,Mänttä-Vilppulan yläkoulu,11,Peruskoulut,0,2025,62.022853,24.499539,508,Mänttä-Vilppula,Mänttä-Vilppula,069,Ylä-Pirkanmaa,Övre Birkaland,06,Pirkanmaa,Birkaland
06200,Mäntyharjun Yhtenäiskoulu,11,Peruskoulut,0,2025,61.418801,26.866972,507,Mäntyharju,Mäntyharju,101,Mikkeli,S:t Michel,10,Etelä-Savo,Södra Savolax
00520,Mäntyharjun lukio,15,Lukiot,0,2025,61.417265,26.866098,507,Mäntyharju,Mäntyharju,101,Mikkeli,S:t Michel,10,Etelä-Savo,Södra Savolax
05855,Mäntykankaan koulu,11,Peruskoulut,0,2025,63.840885,23.116813,272,Kokkola,Karleby,162,Kokkola,Karleby,16,Keski-Pohjanmaa,Mellersta Österbotten
03174,Mäntymäen koulu,11,Peruskoulut,1,2025,60.213111,24.715459,235,Kauniainen,Grankulla,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
08009,Mäntynummen yhtenäiskoulu,11,Peruskoulut,0,2025,60.254876,24.059152,444,Lohja,Lojo,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
03666,Mäntysalon koulu,11,Peruskoulut,0,2025,60.400086,24.760132,543,Nurmijärvi,Nurmijärvi,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
00521,Mäntän lukio,15,Lukiot,0,2025,62.030991,24.626295,508,Mänttä-Vilppula,Mänttä-Vilppula,069,Ylä-Pirkanmaa,Övre Birkaland,06,Pirkanmaa,Birkaland
06636,Märsylän koulu,11,Peruskoulut,1,2025,63.986457,23.952678,217,Kannus,Kannus,162,Kokkola,Karleby,16,Keski-Pohjanmaa,Mellersta Österbotten
08383,Märynummen koulu,11,Peruskoulut,0,2025,60.434782,23.049256,734,Salo,Salo,022,Salo,Salo,02,Varsinais-Suomi,Egentliga Finland
03071,Månsas lågstadieskola,11,Peruskoulut,0,2025,60.227519,24.92999,091,Helsinki,Helsingfors,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
03207,Mårtensdals skola,11,Peruskoulut,0,2025,60.280059,24.845547,092,Vantaa,Vanda,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
06642,Möttösen koulu,11,Peruskoulut,0,2025,63.179358,24.53876,584,Perho,Perho,161,Kaustinen,Kaustby,16,Keski-Pohjanmaa,Mellersta Österbotten
07904,Möysän peruskoulu,11,Peruskoulut,0,2025,60.977876,25.689897,398,Lahti,Lahtis,071,Lahti,Lahtis,07,Päijät-Häme,Päijänne-Tavastland
00552,Naantalin lukio,15,Lukiot,0,2025,60.473198,22.029988,529,Naantali,Nådendal,023,Turku,Åbo,02,Varsinais-Suomi,Egentliga Finland
05029,Naapurinvaaran koulu,11,Peruskoulut,0,2025,64.18159,28.232153,765,Sotkamo,Sotkamo,182,Kajaani,Kajana,18,Kainuu,Kajanaland
08596,Nahkelan koulu,11,Peruskoulut,0,2025,60.403897,24.937604,858,Tuusula,Tusby,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
