Total Enrolment in Mainstream National Schools by Standard (Incl. Special Classes),,,,,,,,,,,,,,,,
Academic Year (Enrolment),Roll Number,Official Name,County Description,Local Authority Description,DEIS (Y/N),Gaeltacht Indicator (Y/N),Ethos Description,Junior Infants,Senior Infants,First Class,Second Class,Third Class,Fourth Class,Fifth Class,Sixth Class,Special Class,Enrolment per Return
2024,01553W,ST. MOCHTA'S NATIONAL SCHOOL,Louth,Louth County Council,N,N,Catholic,20,19,14,20,17,15,25,12,12,154
2024,01554B,Ballapousta NS,Louth,Louth County Council,N,N,Catholic,22,18,21,16,29,25,20,19,5,175
2024,01569O,BALLYCAHILL N S,Tipperary,Tipperary (Nr) County Council,N,N,Catholic,5,7,4,6,5,9,7,6,,49
2024,01572D,S N NAOMH PADRAIG,Donegal,Donegal County Council,Y,N,Catholic,6,13,4,9,14,5,7,9,,67
2024,01574H,SCOIL NAOMH IÓSAF,Donegal,Donegal County Council,Y,N,Catholic,7,3,11,5,8,3,5,8,,50
2024,01583I,GLOUNAGUILLAGH N S,Kerry,Kerry County Council,N,N,Catholic,18,19,19,16,17,26,10,20,,145
2024,01594N,ST JOHNS,Tipperary,Tipperary (Nr) County Council,Y,N,Catholic,19,19,21,22,19,17,21,19,6,163
2024,01607T,S N Cor na Fola B,Roscommon,Roscommon County Council,N,N,Catholic,29,26,28,31,37,21,33,33,,238
2024,01676P,BALLINDINE B N S,Mayo,Mayo County Council,N,N,Catholic,21,21,11,16,16,17,18,17,,137
2024,01687U,DROMLEIGH N S,Cork,Cork County Council,N,N,Catholic,6,3,7,5,5,7,3,8,,44
2024,01692N,FIRMOUNT MIXED N S,Cork,Cork County Council,N,N,Catholic,26,26,15,23,22,18,22,17,,169
2024,01711O,S N CILL ROSANTA,Waterford,Waterford County Council,Y,N,Catholic,19,9,12,6,15,21,6,20,,108
2024,01731U,BALLYNACARGY MIXED N S,Westmeath,Westmeath County Council,Y,N,Catholic,3,7,9,8,7,5,6,6,,51
2024,01733B,ARDARA MIXED N S,Donegal,Donegal County Council,Y,N,Church Of Ireland,4,1,3,4,,1,5,,,18
2024,01782O,S N NAOMH PADRAIG,Wicklow,Wicklow County Council,N,N,Catholic,3,11,6,9,12,12,16,12,,81
2024,01795A,CENTRAL INFS SCHOOL,Dublin,Dublin City Council,Y,N,Catholic,54,52,42,,,,,,,148
2024,01821V,S N RATH MOR,Kildare,Kildare County Council,N,N,Catholic,40,29,37,37,41,41,37,43,,305
2024,01840C,ST CANICE S CONVENT,Wexford,Wexford County Council,Y,N,Catholic,21,19,27,25,21,22,21,33,,189
2024,01862M,TIPPERARY G N S,Tipperary,Tipperary (Sr) County Council,Y,N,Catholic,15,25,18,13,12,20,23,7,,133
2024,01866U,BALLYFORAN MIXED N S,Roscommon,Roscommon County Council,Y,N,Catholic,12,6,5,4,6,7,6,14,4,64
2024,01867W,CASTLELYONS B N S,Cork,Cork County Council,N,N,Catholic,21,26,22,20,28,23,20,24,9,193
2024,02007A,CROAGH NATIONAL SCHOOL,Limerick,Limerick County Council,N,N,Catholic,6,6,11,8,11,5,10,9,,66
2024,02013S,BALLINTOGHER N S,Sligo,Sligo County Council,N,N,Catholic,11,15,8,9,5,7,16,6,,77
2024,02114B,S N BAILE UI GHIBLIN,Cork,Cork County Council,N,N,Catholic,11,15,11,14,10,9,11,25,2,108
2024,02124E,SCOIL NAIS MOLAISE,Carlow,Carlow County Council,N,N,Catholic,7,19,17,13,14,13,13,9,12,117
2024,02237R,DUALLA N S,Tipperary,Tipperary (Sr) County Council,N,N,Catholic,12,12,13,12,12,13,6,14,,94
2024,02263S,CROWENSTOWN N S,Westmeath,Westmeath County Council,N,N,Catholic,,1,2,2,4,1,4,5,,19
2024,02278I,MILLSTREET CONVENT N S,Cork,Cork County Council,N,N,Catholic,44,43,41,17,29,20,17,22,12,245
2024,02322I,ST OLIVERS NS,Louth,Louth County Council,N,N,Catholic,15,12,13,14,19,19,21,14,,127
2024,02358G,TEMPLEGLANTINE N S,Limerick,Limerick County Council,N,N,Catholic,16,4,12,6,9,11,5,7,,70
