place_id,name,longitude,latitude,country,country_code,state,county,city,district,street,formatted
51a9c0e9f0c7505340592b321c3f58334340f00102f9010bf58d4c00000000920318e88e8ee8bda6e58ebfe7acace58d81e4b889e5b08fe5ada6,莎车县第十三小学,77.26220343425179,38.40113057019001,China,cn,Xinjiang,Yarkant County,Yarkand,,前进东路,"莎车县第十三小学, 前进东路, Yarkant County, Xinjiang, China"
5156b9bb6c724e534059f2afb1e8722e4340f00102f9018ee3df4300000000920324e68998e69ca8e590bee696afe5a198e4b9a1e59bbde6b091e69599e882b2e5ada6e6a0a1,托木吾斯塘乡国民教育学校,77.22573393185061,38.362881743203516,China,cn,Xinjiang,Yarkant County,Tomösteng,,Tuhe Expressway,"托木吾斯塘乡国民教育学校, Tuhe Expressway, Yarkant County, Xinjiang, China"
518305087a83d1524059ddee2dbe1bdb4340f00102f9018796943000000000,,75.27364970000603,39.71178414576364,China,cn,Xinjiang,Ulugqat County,Ulugchat Town,,波斯坦铁列克路,"波斯坦铁列克路, Ulugqat County, Xinjiang, China"
5111765164b1fe524059ab934acb4abc4340f00102f901c4394c5600000000920318e59680e4bb80e5b882e7acace58d81e585abe5b08fe5ada6,喀什市第十八小学,75.97957714038081,39.47103253499457,China,cn,Xinjiang,,Kashgar City,Yawagh Subdistrict,吾斯塘博依路,"喀什市第十八小学, 吾斯塘博依路, Yawagh Subdistrict, 844000 Xinjiang, China"
51fc39a2f40dfe524059535987a600bc4340f00102f9014fe2402e00000000920315e59680e4bb80e5b882e882b2e6898de5b08fe5ada6,喀什市育才小学,75.96960178224975,39.46876985176882,China,cn,Xinjiang,,Kashgar City,Xiyudadao Subdistrict,西北路,"喀什市育才小学, 西北路, Xiyudadao Subdistrict, 844000 Xinjiang, China"
513257003a65fe524059b7d6111871ba4340f00102f90183e1402e0000000092031ee696b0e79686e59680e4bb80e6b0b4e588a9e6b0b4e794b5e5ada6e6a0a1,新疆喀什水利水电学校,75.97492837937605,39.45657635565788,China,cn,Xinjiang,,Kashgar City,,大众路,"新疆喀什水利水电学校, 大众路, 844000 Xinjiang, China"
51fc2d4bafc4f6524059bb17884391b04340f00102f9012e21c94e00000000920315e7968fe99984e58ebfe7acace4b880e4b8ade5ada6,疏附县第一中学,75.85575468389283,39.379433099223625,China,cn,Xinjiang,Shufu County,Toqquzaq Town,Awat,Zhanmin West Road,"疏附县第一中学, Zhanmin West Road, Shufu County, Xinjiang, China"
51bddcf68e31f852405975321ce197b04340f00102f901518ac02e00000000920315e7968fe99984e58ebfe7acace59b9be4b8ade5ada6,疏附县第四中学,75.87802480800288,39.37963498951732,China,cn,Xinjiang,Shufu County,Shufu,Nurbagh,Xingfu North Road,"疏附县第四中学, Xingfu North Road, Shufu County, Xinjiang, China"
51f2bdb96409f8524059061b609bc0b04340f00102f9014b8ac02e00000000920315e7968fe99984e58ebfe7acace4b889e4b8ade5ada6,疏附县第三中学,75.87557333124985,39.38087789719252,China,cn,Xinjiang,Shufu County,Shufu,Nurbagh,Xingfu North Road,"疏附县第三中学, Xingfu North Road, Shufu County, Xinjiang, China"
51e840b235f9fa524059cbd7287ca7b54340f00102f9010e9d995500000000920318e5b9bfe5b79ee696b0e59f8ee5ae9ee9aa8ce4b8ade5ada6,广州新城实验中学,75.92146055610249,39.419173736517756,China,cn,Xinjiang,Shufu County,Oghusaq Town,,花都大道,"广州新城实验中学, 花都大道, Shufu County, Xinjiang, China"
512f58e1e079fa5240592386442ee9b54340f00102f9013a21c94e00000000920321e7968fe99984e58ebfe4b98ce5b895e5b094e4b8ade5ada6e9ab98e4b8ade983a8,疏附县乌帕尔中学高中部,75.91368886953636,39.421178611239405,China,cn,Xinjiang,Shufu County,Oghusaq Town,,697专线,"Shufu County Upal Middle School, 697专线, Shufu County, Xinjiang, China"
51a72ac82a80f3524059107fa88f1ba24340f00103f901620664b002000000920368e5b883e68b89e5858be88b8fe4b9a1e4b8ade5bf83e5b08fe5ada620d8a8db87d984d8a7d982d8b3db8720d98adb90d8b2d989d8b3d98920d985db95d8b1d983d989d8b2d98920d8a8d8a7d8b4d984d8a7d986d8badb87da8620d985db95d983d8aad989d9bed989,布拉克苏乡中心小学 بۇلاقسۇ يېزىسى مەركىزى باشلانغۇچ مەكتىپى,75.8046977,39.2664661,China,cn,Xinjiang,Shufu County,Saybag Township,,X434,"布拉克苏乡中心小学 بۇلاقسۇ يېزىسى مەركىزى باشلانغۇچ مەكتىپى, X434, Shufu County, Xinjiang, China"
51eb85bdc1eb335340590a63cac4b59c4340f00102f90196df9e4000000000,,76.81126445301167,39.22429714090511,China,cn,Xinjiang,Yopurga County,Yopurgha Town,,Tuanjie Road,"Tuanjie Road, Yopurga County, Xinjiang, China"
517b3d4749572f53405936f17edb82be4340f00102f901f30fe24e00000000920318e4bcbde5b888e58ebfe5b7b4e4bb81e99587e4b8ade5ada6,伽师县巴仁镇中学,76.73970252949759,39.488368451102744,China,cn,Xinjiang,Peyziwat County,Barin,,Ping'an Road,"Payzawat County Barin Town Middle School, Ping'an Road, Peyziwat County, Xinjiang, China"
