Ville,District,Nom_Ecole,Type_Ecole,Statut,Adresse,Telephone
ADANA,ÇUKUROVA,Fazilet Kibritoğlu Özel Eğitim Uygulama Okulu I. Kademe,Diğer,Public,,
ADANA,ÇUKUROVA,Fazilet Kibritoğlu Özel Eğitim Uygulama Okulu II. Kademe,Diğer,Public,,
ADANA,ÇUKUROVA,Gazi Mustafa Kemal Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Gönül-Ferhat Baykara İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Gülbeyaz Güzel Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Hacı Ahmet Atıl Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Hacı Nazım Turgut İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Hasan Adalı Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Hoca Ahmet Yesevi İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Hümeyra Ökten Kız Anadolu İmam Hatip Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,İbn-i Sina İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,İbn-i Sina Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,İbrahim Atalı Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,İsmail Kulak Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,İsmail Safa Özler Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Kabasakal Şehit Selçuk Beki İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Kabasakal Şehit Selçuk Beki Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Kenan Çetinel İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Kenan Çetinel Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Kurttepe Borsa İstanbul İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Kurttepe Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Kurttepe Şehit Ali Öztaş Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Lütfiye Bağcivan Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Mehmet Özöncel Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Mehmet Tal İmam Hatip Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Mehmet-Bedia Kipri İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Meryem-Mehmet Kayhan Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Mithat Topal Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Necip Fazıl Kısakürek İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Nezihe Yalvaç Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Nigahi Soykan İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Niyazi Ekerbiçer Özel Eğitim Meslek Okulu,Diğer,Public,,
ADANA,ÇUKUROVA,Öğretmen Hıdır Ünverdi Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Öğretmen Zeynep Erdoğdu Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Oğuz Kağan Köksal Görme Engelliler İlkokulu,İlkokul,Public,,
