codigo_escola_dgeec,nome_escola,municipio,distrito,nuts_III,nuts_II,source_donnees,total_alunos_2022_23,alunos_1ano_2022_23,alunos_2ano_2022_23,alunos_3ano_2022_23,alunos_4ano_2022_23,taxa_retencao_media_2022_23,alunos_2ciclo_2019_2020_5ano,alunos_2ciclo_2019_2020_6ano,alunos_2ciclo_2020_2021_5ano,alunos_2ciclo_2020_2021_6ano,alunos_2ciclo_2021_2022_5ano,alunos_2ciclo_2021_2022_6ano,alunos_2ciclo_2022_2023_5ano,alunos_2ciclo_2022_2023_6ano,pct_2ciclo_homens,pct_2ciclo_mulheres,total_alunos_2ciclo,retencao_2ciclo_5ano_2022_23,retencao_2ciclo_6ano_2022_23,conclusao_2ciclo_n_amostra,conclusao_2ciclo_pct_escola,conclusao_2ciclo_pct_nat_comparable
1506271,"Escola Básica de Chão Duro, Moita",Moita,,,,1er_cycle_uniquement,39.0,7.0,13.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,
1506353,Escola Básica da Moita,Moita,,,,1er_cycle_uniquement,181.0,44.0,44.0,45.0,48.0,0.0175,,,,,,,,,,,,,,,,
1506392,"Escola Básica D. Pedro II, Moita",Moita,,,,2eme_cycle_uniquement,,,,,,,138,133,121,134,157,122,140,153,0.53,0.47,293,0.05999999865889549,0.07000000029802322,145,0.9172413793103448,0.9564034616747923
1506562,"Escola Básica n.º 4 da Baixa da Banheira, Moita",Moita,,,,1er_cycle_uniquement,121.0,18.0,51.0,25.0,27.0,0.05,,,,,,,,,,,,,,,,
1506605,"Escola Básica n.º 2 da Baixa da Banheira, Moita",Moita,,,,1er_cycle_uniquement,104.0,20.0,41.0,22.0,21.0,0.0,,,,,,,,,,,,,,,,
1506629,"Escola Básica José Afonso, Alhos Vedros, Moita",Moita,,,,2eme_cycle_uniquement,,,,,,,115,114,132,122,134,137,122,157,0.51,0.49,279,0.10999999940395355,0.05999999865889549,123,0.983739837398374,0.9584835983459384
1506665,"Escola Básica n.º 1 da Baixa da Banheira, Moita",Moita,,,,1er_cycle_uniquement,296.0,73.0,73.0,59.0,91.0,0.0125,,,,,,,,,,,,,,,,
1506673,Escola Básica n.º 1 da Moita,Moita,,,,1er_cycle_uniquement,185.0,49.0,46.0,44.0,46.0,0.0325,,,,,,,,,,,,,,,,
1506687,"Escola Básica de Fragata do Tejo, Moita",Moita,,,,2eme_cycle_uniquement,,,,,,,127,116,101,125,101,103,93,100,0.51,0.49,193,0.15000000596046448,0.14000000059604645,89,0.9101123595505618,0.9606720950991173
1506772,"Escola Básica n.º 7 da Baixa da Banheira, Moita",Moita,,,,1er_cycle_uniquement,138.0,38.0,29.0,26.0,45.0,0.035,,,,,,,,,,,,,,,,
1506847,Escola Básica n.º 2 da Moita,Moita,,,,1er_cycle_uniquement,183.0,41.0,43.0,48.0,51.0,0.0825,,,,,,,,,,,,,,,,
1506858,"Escola Básica de Alhos Vedros, Fonte da Prata, Moita",Moita,,,,1er_cycle_uniquement,178.0,41.0,51.0,42.0,44.0,0.07,,,,,,,,,,,,,,,,
1506877,"Escola Básica de Vale da Amoreira, Moita",Moita,,,,1er_et_2eme_cycle,107.0,0.0,0.0,5.0,102.0,0.415,73,112,81,87,91,87,102,102,0.52,0.48,204,0.05999999865889549,0.05999999865889549,84,0.9285714285714286,0.8633497194657037
1506886,"Escola Básica n.º 2 de Vale da Amoreira, Moita",Moita,,,,1er_cycle_uniquement,124.0,35.0,52.0,37.0,0.0,0.0133,,,,,,,,,,,,,,,,
1506926,Colégio Corte Real,Moita,,,,1er_et_2eme_cycle,115.0,29.0,26.0,25.0,35.0,0.0,0,0,0,0,0,0,23,0,0.5700000000000001,0.43,23,0,-,,,
1506933,"Escola Básica do Gaio, Moita",Moita,,,,1er_cycle_uniquement,35.0,3.0,7.0,10.0,15.0,0.1425,,,,,,,,,,,,,,,,
